không,あ,空,,,,,,,,1, ,,đâu,,,,,có,đúng,,
hả,あ,,,,,,,,,1,文末詞,,gì vậy,,,,,dạ,,,
có,あ,,,,,,,,,1,,,đúng,,,,,không,khỏi,,
em,あ,,,,,,,,,1,家族 人称代名詞 ,,trẻ,,,,,anh,chị,,
đi,あ,,,,,,,,,1, ,,di chuyển,qua,,,,,,,
anh,あ,,,,,,,,,1,家族 人称代名詞 ,,anh trai,,,,,,,,
là,あ,,,,,,,,,1,,,bằng,,,,,,,,
đó,あ,,,,,,,,,1,文末詞,,nè,,,,,,,,
gì,あ,,,,,,,,,1,疑問詞 ,,cái gì,nào,,,,,,,
ơi,あ,,,,,,,,,1,,,ê,,,,,,,,

trời,あ,,,,,,,,,1,,,không khí,vũ trụ,,,,đất,,,
phải,あ,,,,,,,,,1,位置 助動詞,,đúng,cần,,,,trái,,,
dạ,あ,,,,,,,,,1,,,vâng,ạ,,,,hả,,,
gà,あ,,,,,,,,,1,飲食 生物 十二支,,,,,,,,,,,
chín,あ,,,,,,,,,1,数,,,,,,,,,,,
cay,あ,,,,,,,,,1,飲食 感覚 ,,,,,,,,,,,
đắt,あ,,,,,,,,,1,商売,,mắc,,,,,,,,,
hoa quả,あ,花,果,,,,,,,1,野菜・果物 北部方言,,trái cây,,,,,,,,,
lợn,あ,,,,,,,,,1,飲食 生物 北部方言,,heo,,,,,,,,,
nước mắm,あ,,,,,,,,,1,飲食 ,,nước tương,,,,,,,,,
chũ nhật,あ,,,,,,,,,1,月日 曜日・週,,,,,,,,,,,
tám,あ,,,,,,,,,1,数,,,,,,,,,,,
hai mươi ,あ,,,,,,,,,1,数,,,,,,,,,,,
nghìn,あ,,,,,,,,,1,数,,,,,,,,,,,
Hà Nội,あ,河,内,,,,,,,1,ベトナムの地名,,,,,,,,,,,
Hồ Chí Minh,あ,胡,志,明,,,,,,1,ベトナムの地名,,,,,,,,,,,
phở,あ,,,,,,,,,1,飲食,,,,,,,,,,,
xin chào,あ,,,,,,,,,1,,,,,,,,,,,,
đi vệ sinh,あ,衛,生,,,,,,,1,家事・生活,,,,,,,,,,,
cái đó,あ,,,,,,,,,1,,,,,,,,,,,,
cái này,あ,,,,,,,,,1,,,,,,,,,,,,
vâng,あ,,,,,,,,,1,,,,,,,,,,,,
